Player,Salary
Matt Barnes,"$2,133,541"
Nassir Little,"$2,105,520"
Torrey Craig,"$2,100,000"
Moritz Wagner,"$2,063,520"
Dylan Windler,"$2,035,800"
Caleb Swanigan,"$2,033,160"
Trey Burke,"$2,028,594"
Kyle O'Quinn,"$2,028,594"
Michael Carter-Williams,"$2,028,594"
Mike Muscala,"$2,028,594"
Nerlens Noel,"$2,028,594"
Troy Daniels,"$2,028,594"
Ben McLemore,"$2,028,594"
Spencer Hawes,"$2,007,058"
Edmond Sumner,"$2,000,000"
Avery Bradley,"$2,000,000"
Noah Vonleh,"$2,000,000"
Landry Shamet,"$1,995,120"
Mfiondu Kabengele,"$1,977,000"
Kyle Kuzma,"$1,974,600"
Jordan Poole,"$1,964,760"
Tony Bradley,"$1,962,360"
Keldon Johnson,"$1,950,600"
Derrick White,"$1,948,080"
Robert Williams,"$1,937,520"
Josh Hart,"$1,934,160"
Jacob Evans,"$1,925,880"
Anderson Varejão,"$1,913,345"
Džanan Musa,"$1,911,600"
Omari Spellman,"$1,897,800"
Shabazz Napier,"$1,882,867"
Glenn Robinson,"$1,882,867"
James Ennis,"$1,882,867"
Tim Frazier,"$1,882,867"
Larry Sanders,"$1,865,547"
Bruno Caboclo,"$1,845,301"
Markieff Morris,"$1,750,000"
Mario Hezonja,"$1,737,145"
Emmanuel Mudiay,"$1,737,145"
Raul Neto,"$1,737,145"
JaKarr Sampson,"$1,737,145"
Pat Connaughton,"$1,723,050"
Jahlil Okafor,"$1,702,486"
Rodions Kurucs,"$1,699,236"
Jonah Bolden,"$1,698,450"
Georges Niang,"$1,678,854"
Cheick Diallo,"$1,678,854"
Dragan Bender,"$1,678,854"
David Nwaba,"$1,678,854"
Treveon Graham,"$1,678,854"
Willy Hernangómez,"$1,676,735"
Derrick Jones,"$1,645,357"
Jordan McRae,"$1,645,357"
Christian Wood,"$1,645,357"
Furkan Korkmaz,"$1,620,564"
Jordan Bell,"$1,620,564"
Justin Patton,"$1,620,564"
Royce O'Neale,"$1,618,520"
Dillon Brooks,"$1,618,520"
Wesley Iwundu,"$1,618,520"
Abdel Nader,"$1,618,520"
Damyean Dotson,"$1,618,520"
Frank Jackson,"$1,618,520"
Sterling Brown,"$1,618,520"
Dwayne Bacon,"$1,618,520"
Semi Ojeleye,"$1,618,520"
Chris Boucher,"$1,588,231"
Malcolm Miller,"$1,588,231"
Monte Morris,"$1,588,231"
Mitchell Robinson,"$1,559,712"
Vlatko Čančar,"$1,517,981"
Isaiah Roby,"$1,500,000"
Nigel Williams-Goss,"$1,500,000"
J.R. Smith,"$1,456,667"
Shake Milton,"$1,445,697"
Thanasis Antetokounmpo,"$1,445,697"
Amile Jefferson,"$1,445,697"
Theo Pinson,"$1,445,697"
Brad Wanamaker,"$1,445,697"
Derrick Walton,"$1,445,697"
Ryan Broekhoff,"$1,443,842"
Gary Trent,"$1,416,852"
Isaac Bonga,"$1,416,852"
Chimezie Metu,"$1,416,852"
Jevon Carter,"$1,416,852"
Elie Okobo,"$1,416,852"
Melvin Frazier,"$1,416,852"
Deonte Burton,"$1,416,852"
Hamidou Diallo,"$1,416,852"
Kenrich Williams,"$1,416,852"
Jarred Vanderbilt,"$1,416,852"
Duncan Robinson,"$1,416,852"
Kendrick Nunn,"$1,416,852"
De'Anthony Melton,"$1,416,852"
Alize Johnson,"$1,416,852"
Isaiah Hartenstein,"$1,416,852"
Sviatoslav Mykhailiuk,"$1,416,852"
Bruce Brown,"$1,416,852"
Keita Bates-Diop,"$1,416,852"
Devonte' Graham,"$1,416,852"
Jalen Brunson,"$1,416,582"
Bruno Fernando,"$1,400,000"
Jaylen Nowell,"$1,400,000"
Alfonzo McKinnie,"$1,361,046"
Kevin Porter,"$1,290,960"
Carsen Edwards,"$1,228,026"
Cody Martin,"$1,173,310"
Gary Payton,"$1,090,781"
